,Lemma,TF-IDF
381,何処,1.8461187678503186e-05
382,然し,1.118277104119826e-05
383,敵国,0
384,戦争,0
385,消える,5.315001033134825e-06
386,血族,0
387,見落とす,0
388,見付ける,3.676041696374476e-06
389,国王,0
390,首飾り,0
391,べし,1.3978463801497827e-05
392,瞳,0
393,彼れ,0.0
394,父,4.395620756239107e-05
395,立つ,5.315001033134825e-06
396,鼠,0
397,駄目,2.175815644451559e-05
398,アヤ,0.001683723809129144
399,たん,0
400,盾突く,0
401,何故,1.3139357586221334e-05
402,狙う,0
403,拾う,9.289905261899475e-05
404,吐く,4.15259246058175e-05
405,貰う,0.0
406,私物,7.653290041496108e-05
407,刃向かう,0
408,余計,1.7214842016631192e-05
409,作戦,0
410,ばれる,1.2900789424289627e-05
411,ミカ,0
412,もう,0.0
413,果たす,2.635930373935672e-05
414,止す,8.727956026276784e-05
415,巻き添え,0
416,たい,0.0
417,ー,0.0008105209105902925
418,生きる,7.562254222887163e-06
419,奴,0.0
420,先,1.6429385016837055e-05
421,掻っ払う,0
422,逃げる,3.676041696374476e-06
423,生き延びる,0
424,他,5.4395391111288975e-06
425,考える,1.779850043490681e-05
426,頼む,1.3880907651281392e-05
427,逃亡,0
428,候補,0
429,連れ戻す,0
430,大丈夫,0.0
431,其処,1.440873184663663e-05
432,二人,9.005457404147896e-06
433,止まる,1.9183926877876746e-05
434,下がる,2.076296230290875e-05
435,人質,0
436,罪人,0
437,訳,0.0
438,一人,6.754093053110921e-06
439,当たり前,2.4108183784086586e-05
440,へえ,1.1785668074112612e-05
441,咄嗟,0
442,妨害,5.750870310956868e-05
443,壁,1.2900789424289627e-05
444,張る,9.779782174727388e-06
445,致命,0
446,避ける,7.126337374435835e-05
447,愛する,0
448,故,0
449,別れ,0
450,選ぶ,9.854518189666001e-06
451,突風,0
452,身,0
453,任せる,1.118277104119826e-05
454,未来,0
455,包む,0
456,眩い,0
457,光,0
458,暗黒,0
459,闇,0
460,花,0
461,溝,0.0005515768961904501
462,教える,1.3691154180697545e-05
463,一,0.0
464,シュン,0
465,社,0
466,御覧,0
467,提供,0
468,送る,3.460683900619383e-05
469,やら,0
470,訳有り,0
471,みたい,0.0
472,手助け,0
473,無くなる,9.188548060236323e-06
474,宜しい,0
475,勿論,1.3139357586221334e-05
476,真実,0
477,つ,0.0
478,人間,1.3691154180697544e-06
479,数,6.377434521851997e-06
480,存在,6.377434521851997e-06
481,番組,6.274907161063132e-05
482,令,0
483,的,4.953001572281342e-06
484,伴随,0
485,着,6.274907161063132e-05
486,痛苦,0
487,薄れ行く,0
488,意識,0
489,中,0.0
490,故郷,0
491,雪,0.00042678970292414295
492,残酷,0
493,ほど,3.6021829616591576e-06
494,走る,0
495,崖崩れ,0
496,偉い,2.756564418070897e-05
497,好き,3.151910091451763e-05
498,し,0.0
499,降る,0.0001367236904525037
500,やがる,4.626969217093797e-06
501,直ちに,0
502,兵,0
503,差し向ける,0
504,直,0
505,見付かる,4.48448754649891e-05
506,子,1.903838688895114e-05
507,失う,0
508,惜しい,0
509,同感,0
510,不味い,4.594274030118162e-05
511,逃げ込む,0
512,直ぐ,3.676041696374476e-05
513,部隊,0
514,送り込む,0
515,七,0
516,区,0
517,領域,0
518,呼ぶ,2.629110570378967e-05
519,庇護,0
520,求める,0
521,えー,0.0
522,犯罪,0
523,表立つ,0
524,とる,6.241194853455134e-05
525,大声,5.0908349069557894e-05
526,目覚まし,0
527,気分,1.9559564349454775e-05
528,たー,0
529,こんな,2.5384515851934854e-05
530,生命,0
531,溢れる,0
532,自殺,0
533,志願,0
534,放し,2.8359592698526344e-05
535,小さな,0
536,苛める,0
537,楽しい,3.85629075352966e-05
538,誤解,0.00021339485146207147
539,教会,0
540,如何に,0
541,まー,4.6736539822316894e-05
542,聖職,0
543,てく,0.0
544,目付き,0
545,悪い,4.381169337823214e-05
546,運ぶ,0
547,あんな,7.352083392748952e-06
548,背中,4.712722195811431e-05
549,烙印,0
550,名前,7.903489647205123e-05
551,構う,4.7959817194691866e-06
552,場所,8.387078280898695e-06
553,侭,4.502728702073948e-06
554,生き埋め,0
555,少し,1.1256821755184868e-05
556,無事,0
557,鍵,4.712722195811431e-05
558,逃げ出す,0
559,自由,1.7214842016631192e-05
560,心,0
561,元,1.3139357586221334e-05
562,使命,0
563,日,3.6966116287883374e-05
564,怪我,0
565,手当て,0
566,確り,4.8449574608671364e-05
567,痛い,2.9563554568998004e-05
568,リーベル,0
569,宜しく,5.59138552059913e-06
570,天,0
571,より,0.0
572,迷う,0
573,り,0
574,子羊,0
575,ちょっちょっ,0
576,召し上がる,0
577,体力,0
578,取り戻す,0
579,食事,2.016126332618176e-05
580,薬,2.3563610979057154e-05
581,癒す,0
582,着替える,2.447020083091197e-05
583,置く,8.5551845339405e-06
584,あら,2.07641034037163e-05
585,信ずる,1.1343381334330745e-05
586,迷い,0
587,苦しむ,0
588,舞い下りる,0
589,運命,5.4689476181001474e-05
590,引かす,0
