,Lemma,TF-IDF
392,瞳,0
393,彼れ,0.0
394,父,4.5113315912285745e-05
395,立つ,4.2703487964917626e-05
396,鼠,7.552183190531537e-05
397,駄目,1.0088286398879332e-05
398,アヤ,0
399,たん,2.6925928141875656e-05
400,盾突く,0
401,何故,5.216227152358039e-05
402,狙う,4.155622122610294e-05
403,拾う,2.9513276288839138e-05
404,吐く,6.0763961761237325e-06
405,貰う,0.0
406,私物,0
407,刃向かう,0
408,余計,2.9234070039159275e-05
409,作戦,2.308714426513816e-05
410,ばれる,1.9168650494964192e-05
411,ミカ,0
412,もう,0.0
413,果たす,0
414,止す,5.9124685604354503e-05
415,巻き添え,3.937902712935861e-05
416,たい,0.0
417,ー,0.00022953124781143226
418,生きる,7.424145499910782e-05
419,奴,0.0
420,先,1.5915959791997255e-05
421,掻っ払う,0
422,逃げる,8.354721547634072e-06
423,生き延びる,0
424,他,5.5027016721159995e-06
425,考える,1.2455968532867417e-05
426,頼む,1.9737075711625013e-05
427,逃亡,0.00014464723343505284
428,候補,2.2085977669446075e-05
429,連れ戻す,0.00013362357672705682
430,大丈夫,0.0
431,其処,6.83743340221635e-06
432,二人,0.0
433,止まる,7.231380430659952e-06
434,下がる,1.9168650494964192e-05
435,人質,2.5173943968438455e-05
436,罪人,4.324365294471058e-05
437,訳,0.0
438,一人,6.609518955475804e-06
439,当たり前,2.307301146644459e-05
440,へえ,1.9375951051127093e-05
441,咄嗟,0
442,妨害,0
443,壁,8.465286230550658e-05
444,張る,1.2779100329976128e-05
445,致命,0
446,避ける,0
447,愛する,0.00019021520151335253
448,故,0
449,別れ,0
450,選ぶ,7.614508205036698e-06
451,突風,0
452,身,3.0381980880618664e-05
453,任せる,1.2688120100330366e-05
454,未来,1.6767186182295445e-05
455,包む,2.6030020281791054e-05
456,眩い,0
457,光,0
458,暗黒,0
459,闇,4.141956385185719e-05
460,花,3.214633149775e-05
461,溝,0
462,教える,1.729995629564919e-05
463,一,0.0
464,シュン,0.00011772197960020898
465,社,1.1005300829704872e-05
466,御覧,6.603180497822923e-05
467,提供,0
468,送る,5.23482754390641e-05
469,やら,4.133099456441858e-05
470,訳有り,0
471,みたい,0.0
472,手助け,0
473,無くなる,1.4617035019579637e-05
474,宜しい,5.5026504148524364e-05
475,勿論,3.0458032820146793e-05
476,真実,3.6442703708188205e-05
477,つ,0.0
478,人間,1.453196328834532e-05
479,数,2.991330025089377e-05
480,存在,8.032537386347886e-06
481,番組,0
482,令,0
483,的,2.0512300206649048e-06
484,伴随,0
485,着,0
486,痛苦,0
487,薄れ行く,0
488,意識,7.360775078361041e-06
489,中,0.0
490,故郷,0
491,雪,0
492,残酷,0
493,ほど,4.1024600413298095e-06
494,走る,5.861986147016863e-06
495,崖崩れ,0
496,偉い,1.5499122961656968e-05
497,好き,4.786203381551444e-06
498,し,0.0
499,降る,6.407189938149962e-05
500,やがる,1.1675420667584948e-05
501,直ちに,0
502,兵,0
503,差し向ける,0
504,直,0
505,見付かる,5.198980629244131e-05
506,子,9.800321209843435e-06
507,失う,1.2152792352247465e-05
508,惜しい,0
509,同感,0
510,不味い,1.948938002610618e-05
511,逃げ込む,0
512,直ぐ,1.8566047883631272e-05
513,部隊,0
514,送り込む,0
515,七,0.0003885080604738258
516,区,0.001611132413980061
517,領域,0
518,呼ぶ,1.1005403344231999e-05
519,庇護,0
520,求める,3.638781649981278e-05
521,えー,0.0
522,犯罪,0.00018638803733335736
523,表立つ,0
524,とる,2.1146866833883946e-05
525,大声,0
526,目覚まし,0
527,気分,1.730475859983344e-05
528,たー,0
529,こんな,1.8342338907053332e-05
530,生命,0
531,溢れる,0
532,自殺,0.0002592494896069961
533,志願,0
534,放し,5.126450813678783e-05
535,小さな,1.141075887877242e-05
536,苛める,2.005688733419665e-05
537,楽しい,4.003451996711027e-05
538,誤解,1.7646427190643333e-05
539,教会,0
540,如何に,2.9033097828652102e-05
541,まー,2.772789668930203e-05
542,聖職,0
543,てく,0.0
544,目付き,0
545,悪い,2.421993881390887e-05
546,運ぶ,1.6073165748875e-05
547,あんな,4.203151440330581e-05
548,背中,1.4041005099393523e-05
549,烙印,0
550,名前,1.4852838306905016e-05
551,構う,8.006903993422054e-06
552,場所,5.6274292021658886e-05
553,侭,4.786203381551444e-06
554,生き埋め,0
555,少し,4.330374488070355e-06
556,無事,5.499284824635928e-05
557,鍵,0.00012681013434223502
558,逃げ出す,3.762793851480366e-05
559,自由,1.8330949415453094e-05
560,心,6.344060050165184e-05
561,元,2.1146866833883946e-05
562,使命,2.4354307677272424e-05
563,日,1.0546844871555667e-05
564,怪我,1.0397961258488261e-05
565,手当て,2.9894646097143026e-05
566,確り,3.2130149545391545e-05
567,痛い,5.710881153777524e-06
568,リーベル,0
569,宜しく,1.8327284589366087e-05
570,天,4.141956385185719e-05
571,より,0.0
572,迷う,0
573,り,5.191427579950032e-05
574,子羊,0
575,ちょっちょっ,0
576,召し上がる,0
577,体力,0
578,取り戻す,4.564303551508968e-05
579,食事,0
580,薬,3.6744656719499086e-05
581,癒す,0
582,着替える,0
583,置く,4.558288934810899e-06
584,あら,9.454324754766712e-05
585,信ずる,3.236165987140597e-05
586,迷い,0
587,苦しむ,6.407189938149962e-05
588,舞い下りる,0
589,運命,0
590,引かす,0
591,御陰,7.0052524005509685e-06
592,痛み,0
593,感じ,2.155376335175453e-05
594,大勢,0
595,久しい,1.7243010681403625e-05
596,振り,5.044143199439666e-06
597,元気,2.6689679978073517e-05
598,話,9.800321209843435e-06
599,だらけ,1.2248218906499695e-05
600,王国,0
601,司教,0
602,どうぞ,1.939838701657908e-05
603,へ,0.0
604,有り難う,1.3446952357692153e-05
605,御座る,4.151989510955806e-05
606,国,2.012364145988729e-05
607,唯一,4.564303551508968e-05
608,呪い,0
609,解く,0.00033091278499150945
610,らしい,0.0
611,御伽話,0
612,実在,0
613,死神,0
614,封印,0
615,千,0
616,年,0.0
617,経つ,4.133099456441858e-05
618,三,3.194775082494032e-05
619,願い,5.62524891801016e-05
620,引き換え,2.1385589722005054e-05
621,魂,1.6545639249575472e-05
622,使い,0
623,契約,5.6441907772205486e-05
624,胸,1.9675517525892756e-05
625,証し,0
626,現われる,1.1536505733222294e-05
627,付ける,4.558288934810899e-06
628,返る,0.0
629,守り神,0
630,具,0
631,度,0.0
632,世話,1.3863948344651016e-05
633,焼かす,0
634,じゃ,9.116577869621799e-06
635,丈,7.306292303181728e-05
636,夫,0
637,可愛い,1.3924535912723453e-05
638,作品,3.099543403821089e-05
639,愛,5.616402039757409e-05
640,結晶,0
641,百,0
642,戦記,0
643,探す,3.0356093735720864e-05
644,危ない,2.243497518817033e-05
645,済む,0.0
646,職業,3.473459656957261e-05
647,柄,0
648,問題,3.713209576726254e-06
649,部屋,0.0001948938002610618
650,隠す,6.426029909078309e-05
651,限界,0
652,木,1.5391429510092107e-05
653,森,0
654,呉々,0
655,人形,8.823213595321667e-05
656,宅,7.552183190531537e-05
657,内密,0
658,つく,9.283023941815636e-06
659,調べる,7.650947373767982e-05
660,十,1.1005300829704872e-05
661,世界,3.527549097889942e-05
662,対等,0
663,強大,0
664,加護,0
665,受ける,4.378342217896102e-05
666,二,2.7513508360579997e-06
667,平和,2.005688733419665e-05
668,協定,0
669,結ぶ,3.0008266166997396e-05
670,長い,1.3863948344651016e-05
671,支え合う,0
672,破る,0
673,対立,0
674,滅亡,0
675,歴史,0
676,書,5.5026504148524364e-05
677,書く,2.930993073508432e-05
678,目,0.0
679,驚く,1.639488722950282e-05
680,中々,5.768252866611147e-05
681,大きい,8.275631179655718e-06
682,守り,0
683,主,7.50206654174935e-05
684,言い伝え,0
